Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Metro m2;Tipo Agregado
Box/Garagem;Laranjeiras;0;0;0;4;300.0;60.0;0.0;75.0;Apartamento
Loja/Salão;Barra da Tijuca;0;1;0;100;4800.0;2000.0;5000.0;48.0;Apartamento
Casa Comercial;Glória;0;2;0;295;35400.0;6210.0;443.0;120.0;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;377;26401.0;5673.0;1700.0;70.03;Apartamento
Apartamento;Barra da Tijuca;3;3;2;223;15000.0;3200.0;1019.0;67.26;Apartamento
Apartamento;Flamengo;2;1;0;70;2500.0;837.0;27.0;35.71;Apartamento
Conjunto Comercial/Sala;Botafogo;0;3;0;140;9900.0;2000.0;480.0;70.71;Apartamento
Apartamento;Flamengo;1;0;0;50;1700.0;480.0;250.0;34.0;Apartamento
Apartamento;Campo Grande;1;1;0;40;500.0;182.0;0.0;12.5;Apartamento
Galpão/Depósito/Armazém;Cachambi;0;10;0;750;9000.0;0.0;450.0;12.0;Apartamento
Flat;Ipanema;2;1;1;90;4900.0;4264.0;620.0;54.44;Apartamento
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;0;0;30;1500.0;305.0;120.0;50.0;Apartamento
Casa de Vila;Bento Ribeiro;1;0;0;53;700.0;40.0;0.0;13.21;Casa
Casa;Barra da Tijuca;4;3;1;111;5100.0;735.0;0.0;45.95;Casa
Apartamento;Vila Isabel;2;1;0;75;1200.0;600.0;0.0;16.0;Apartamento
Apartamento;Copacabana;1;0;1;45;1400.0;552.0;66.0;31.11;Apartamento
Apartamento;Copacabana;3;1;0;90;3800.0;1064.0;230.0;42.22;Apartamento
Apartamento;Centro;1;0;0;55;950.0;433.0;47.0;17.27;Apartamento
Conjunto Comercial/Sala;Jardim Guanabara;0;0;0;33;550.0;500.0;40.0;16.67;Apartamento
Casa;Recreio dos Bandeirantes;6;0;4;600;10000.0;0.0;1080.0;16.67;Casa
Apartamento;Barra da Tijuca;4;3;2;244;4200.0;3485.0;786.0;17.21;Apartamento
Galpão/Depósito/Armazém;Honório Gurgel;0;10;0;1000;12000.0;0.0;0.0;12.0;Apartamento
Apartamento;Irajá;2;1;0;81;1000.0;335.0;30.0;12.35;Apartamento
Apartamento;Copacabana;4;0;1;300;6000.0;2500.0;375.0;20.0;Apartamento
Apartamento;Copacabana;3;1;0;180;3500.0;1048.0;388.0;19.44;Apartamento
Apartamento;Madureira;2;1;0;60;1350.0;700.0;13.0;22.5;Apartamento
Apartamento;Botafogo;1;0;0;29;1390.0;400.0;0.0;47.93;Apartamento
Apartamento;Copacabana;1;0;0;50;3000.0;0.0;0.0;60.0;Apartamento
Conjunto Comercial/Sala;Copacabana;0;0;0;30;950.0;427.0;130.0;31.67;Apartamento
Quitinete;Fátima;1;0;0;35;900.0;310.0;25.0;25.71;Apartamento
Apartamento;Barra da Tijuca;2;1;1;84;2500.0;2085.0;265.0;29.76;Apartamento
Apartamento;Jardim Guanabara;2;1;1;100;2500.0;500.0;0.0;25.0;Apartamento
Quitinete;Tijuca;1;1;0;33;1500.0;415.0;159.0;45.45;Apartamento
Apartamento;Vila da Penha;2;1;2;90;2500.0;710.0;0.0;27.78;Apartamento
Apartamento;Barra da Tijuca;4;3;3;240;11000.0;3683.0;1292.0;45.83;Apartamento
Apartamento;Humaitá;2;1;1;75;2500.0;1350.0;0.0;33.33;Apartamento
Apartamento;Jacarepaguá;3;1;1;76;1800.0;860.0;1006.0;23.68;Apartamento
Apartamento;Barra da Tijuca;3;1;1;85;2200.0;683.0;90.0;25.88;Apartamento
Apartamento;Laranjeiras;3;1;0;165;4000.0;1400.0;240.0;24.24;Apartamento
Casa de Vila;Botafogo;2;1;0;50;2000.0;0.0;0.0;40.0;Casa
Apartamento;Ipanema;1;1;1;131;6400.0;1650.0;280.0;48.85;Apartamento
Loja/Salão;Catete;0;0;0;450;35000.0;0.0;0.0;77.78;Apartamento
Apartamento;Grajaú;4;0;1;100;3900.0;800.0;0.0;39.0;Apartamento
Apartamento;Barra da Tijuca;4;3;3;342;7500.0;3970.0;0.0;21.93;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;55;700.0;1243.0;137.0;12.73;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;52;1500.0;594.0;121.0;28.85;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;3;0;130;8000.0;3590.0;949.0;61.54;Apartamento
Loja/Salão;Pavuna;0;0;0;40;800.0;40.0;20.0;20.0;Apartamento
Apartamento;Leblon;2;0;0;65;2500.0;868.0;0.0;38.46;Apartamento
Apartamento;Flamengo;2;0;0;72;2500.0;578.0;191.0;34.72;Apartamento
Apartamento;Tijuca;3;1;1;85;2100.0;630.0;116.0;24.71;Apartamento
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;2;0;98;2500.0;973.0;620.0;25.51;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;4;0;84;3800.0;2598.0;391.0;45.24;Apartamento
Apartamento;Ipanema;2;1;2;130;10000.0;1871.0;0.0;76.92;Apartamento
Apartamento;Leblon;4;2;1;220;9500.0;1800.0;0.0;43.18;Apartamento
Conjunto Comercial/Sala;Ipanema;0;0;0;80;6000.0;800.0;830.0;75.0;Apartamento
Apartamento;Jardim Guanabara;2;1;1;86;1800.0;405.0;93.0;20.93;Apartamento
Apartamento;Humaitá;2;0;0;67;2200.0;567.0;83.0;32.84;Apartamento
Apartamento;Botafogo;3;1;1;108;3800.0;887.0;195.0;35.19;Apartamento
Apartamento;Barra da Tijuca;3;3;3;145;5100.0;1100.0;424.0;35.17;Apartamento
Quitinete;Ipanema;1;0;0;23;1500.0;700.0;27.0;65.22;Apartamento
Casa de Condomínio;Barra da Tijuca;4;4;2;385;7500.0;1150.0;750.0;19.48;Casa
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;32;1200.0;1168.0;264.0;37.5;Apartamento
Apartamento;Ipanema;1;8;1;97;8000.0;1800.0;250.0;82.47;Apartamento
Conjunto Comercial/Sala;Taquara;0;0;0;30;550.0;430.0;0.0;18.33;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;24;650.0;600.0;0.0;27.08;Apartamento
Apartamento;Taquara;2;1;1;66;1100.0;452.0;65.0;16.67;Apartamento
Apartamento;Centro;1;0;0;34;800.0;424.0;25.0;23.53;Apartamento
Casa de Vila;Pechincha;4;2;4;180;3000.0;0.0;0.0;16.67;Casa
Apartamento;Freguesia (Jacarepaguá);2;1;0;56;1100.0;350.0;385.0;19.64;Apartamento
Box/Garagem;Ipanema;0;1;0;0;500.0;0.0;0.0;inf;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;24;1200.0;160.0;0.0;50.0;Apartamento
Conjunto Comercial/Sala;Copacabana;0;0;0;458;45000.0;2000.0;2000.0;98.25;Apartamento
Apartamento;Jacarepaguá;2;1;2;70;1300.0;550.0;0.0;18.57;Apartamento
Apartamento;Campo Grande;2;1;0;60;750.0;200.0;0.0;12.5;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;44;1790.0;815.0;167.0;40.68;Apartamento
Apartamento;Campo Grande;2;1;0;50;550.0;105.0;0.0;11.0;Apartamento
Apartamento;Barra da Tijuca;4;4;3;420;8000.0;5700.0;2000.0;19.05;Apartamento
Casa de Condomínio;Barra da Tijuca;5;4;5;631;18000.0;980.0;1800.0;28.53;Casa
Loja/Salão;Centro;0;0;0;70;2700.0;0.0;435.0;38.57;Apartamento
Loja/Salão;Tijuca;0;0;0;44;2000.0;1100.0;0.0;45.45;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;245;16000.0;3500.0;700.0;65.31;Apartamento
Apartamento;Barra da Tijuca;3;2;3;131;3500.0;1700.0;0.0;26.72;Apartamento
Quitinete;Copacabana;0;0;0;30;900.0;640.0;24.0;30.0;Apartamento
Apartamento;Campo Grande;1;1;0;50;500.0;180.0;0.0;10.0;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;698;41880.0;13813.0;4563.0;60.0;Apartamento
Apartamento;Pechincha;2;1;0;77;1300.0;504.0;72.0;16.88;Apartamento
Casa de Condomínio;Joá;6;35;4;1100;22000.0;0.0;0.0;20.0;Casa
Box/Garagem;Recreio dos Bandeirantes;0;0;0;0;800.0;0.0;0.0;inf;Apartamento
Apartamento;Maracanã;3;1;1;110;2000.0;715.0;0.0;18.18;Apartamento
Apartamento;Ipanema;4;1;1;168;5500.0;2143.0;0.0;32.74;Apartamento
Conjunto Comercial/Sala;Botafogo;0;8;0;660;40000.0;11235.0;1906.0;60.61;Apartamento
Conjunto Comercial/Sala;Rio Comprido;0;25;0;1100;59999.0;0.0;1400.0;54.54;Apartamento
Apartamento;Gávea;1;1;1;60;2700.0;929.0;214.0;45.0;Apartamento
Apartamento;Ipanema;3;1;1;150;4300.0;1700.0;250.0;28.67;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;120;2200.0;520.0;216.0;18.33;Apartamento
Apartamento;Leblon;2;1;1;90;5000.0;2000.0;500.0;55.56;Apartamento
Apartamento;Rio Comprido;2;1;0;53;1600.0;764.0;33.0;30.19;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;4;0;84;4000.0;2600.0;480.0;47.62;Apartamento
Apartamento;Barra da Tijuca;1;1;0;68;1500.0;875.0;210.0;22.06;Apartamento
Apartamento;Gávea;1;0;0;33;1700.0;731.0;61.0;51.52;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;347;12000.0;4515.0;1222.0;34.58;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;64;1500.0;703.0;223.0;23.44;Apartamento
Apartamento;Barra da Tijuca;2;1;1;90;3300.0;1550.0;247.0;36.67;Apartamento
Apartamento;Pechincha;2;1;0;70;1300.0;570.0;20.0;18.57;Apartamento
Apartamento;Copacabana;5;1;5;300;25000.0;2100.0;7000.0;83.33;Apartamento
Apartamento;Engenho de Dentro;2;1;0;55;1500.0;450.0;120.0;27.27;Apartamento
Loja Shopping/ Ct Comercial;Recreio dos Bandeirantes;0;0;0;24;2000.0;2197.0;166.0;83.33;Apartamento
Apartamento;Flamengo;2;0;0;93;4000.0;550.0;150.0;43.01;Apartamento
Apartamento;Copacabana;1;0;0;35;1700.0;695.0;114.0;48.57;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;423;11000.0;8082.0;1977.0;26.0;Apartamento
Apartamento;Ipanema;3;0;2;180;5500.0;2235.0;448.0;30.56;Apartamento
Loja/Salão;Copacabana;0;0;0;16;3500.0;0.0;110.0;218.75;Apartamento
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;30;1200.0;521.0;0.0;40.0;Apartamento
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;2;0;50;1500.0;350.0;120.0;30.0;Apartamento
Apartamento;Barra da Tijuca;4;3;4;260;15000.0;3400.0;5000.0;57.69;Apartamento
Conjunto Comercial/Sala;Centro;0;1;0;63;2600.0;1491.0;131.0;41.27;Apartamento
Apartamento;Barra da Tijuca;3;1;1;82;2200.0;830.0;0.0;26.83;Apartamento
Loja/Salão;Ipanema;0;1;0;43;4600.0;1300.0;777.0;106.98;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;200;4000.0;1232.0;454.0;20.0;Apartamento
Apartamento;Barra da Tijuca;2;2;1;105;5800.0;1900.0;270.0;55.24;Apartamento
Apartamento;Jardim Oceânico;4;3;4;300;4500.0;2000.0;650.0;15.0;Apartamento
Apartamento;Leblon;4;3;1;180;7000.0;2290.0;0.0;38.89;Apartamento
Apartamento;Barra da Tijuca;3;2;1;203;5500.0;2800.0;696.0;27.09;Apartamento
Apartamento;Honório Gurgel;1;0;0;80;750.0;0.0;0.0;9.38;Apartamento
Apartamento;São Conrado;2;1;1;130;3500.0;1094.0;242.0;26.92;Apartamento
Casa;Guaratiba;2;1;0;60;1000.0;0.0;0.0;16.67;Casa
Conjunto Comercial/Sala;Copacabana;0;0;0;40;1500.0;1100.0;147.0;37.5;Apartamento
Apartamento;Copacabana;1;0;0;47;2300.0;720.0;30.0;48.94;Apartamento
Apartamento;Botafogo;1;0;0;35;1000.0;293.0;86.0;28.57;Apartamento
Quitinete;Botafogo;1;0;0;25;1100.0;570.0;0.0;44.0;Apartamento
Apartamento;Vila da Penha;3;1;1;80;1300.0;250.0;0.0;16.25;Apartamento
Loja/Salão;Gávea;0;0;0;38;10000.0;3095.0;0.0;263.16;Apartamento
Apartamento;Vaz Lobo;2;0;0;70;1000.0;0.0;0.0;14.29;Apartamento
Apartamento;Ipanema;2;1;0;150;5500.0;2500.0;500.0;36.67;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;156;3000.0;1853.0;0.0;19.23;Apartamento
Apartamento;Leblon;3;1;1;150;5000.0;1162.0;435.0;33.33;Apartamento
Apartamento;Tijuca;2;1;0;65;1500.0;680.0;0.0;23.08;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;36;1100.0;1300.0;0.0;30.56;Apartamento
Apartamento;Copacabana;3;1;0;108;3800.0;1278.0;274.0;35.19;Apartamento
Apartamento;Colégio;1;0;0;45;660.0;0.0;0.0;14.67;Apartamento
Conjunto Comercial/Sala;Taquara;0;1;0;27;600.0;350.0;40.0;22.22;Apartamento
Apartamento;Leme;1;0;0;40;1500.0;650.0;68.0;37.5;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;298;9540.0;7704.0;0.0;32.01;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;245;25000.0;8570.0;1597.0;102.04;Apartamento
Apartamento;Recreio dos Bandeirantes;3;3;1;100;2950.0;850.0;0.0;29.5;Apartamento
Apartamento;Barra da Tijuca;3;3;3;140;6500.0;1500.0;500.0;46.43;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;27;900.0;428.0;120.0;33.33;Apartamento
Apartamento;Barra da Tijuca;4;3;3;352;12000.0;3000.0;1350.0;34.09;Apartamento
Apartamento;Copacabana;3;1;1;250;9500.0;1680.0;680.0;38.0;Apartamento
Apartamento;Rocha;2;1;0;58;800.0;600.0;0.0;13.79;Apartamento
Apartamento;Barra da Tijuca;2;1;1;65;1700.0;1241.0;204.0;26.15;Apartamento
Apartamento;Ipanema;3;1;1;190;15000.0;1423.0;357.0;78.95;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;3;0;100;4000.0;2946.0;0.0;40.0;Apartamento
Conjunto Comercial/Sala;Méier;0;0;0;28;650.0;573.0;0.0;23.21;Apartamento
Apartamento;Vila Isabel;1;0;0;65;1800.0;155.0;70.0;27.69;Apartamento
Apartamento;Botafogo;1;0;0;52;1500.0;1000.0;27.0;28.85;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;70;3200.0;1160.0;0.0;45.71;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;20;906.0;0.0;0.0;45.3;Apartamento
Apartamento;Tijuca;2;1;1;86;1200.0;534.0;96.0;13.95;Apartamento
Apartamento;Tijuca;1;0;0;25;1450.0;485.0;25.0;58.0;Apartamento
Loja/Salão;Recreio dos Bandeirantes;0;0;0;34;4250.0;782.0;0.0;125.0;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;484;18000.0;6080.0;16225.0;37.19;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;50;1200.0;1300.0;114.0;24.0;Apartamento
Apartamento;Méier;2;0;0;70;800.0;536.0;50.0;11.43;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;245;20000.0;8570.0;1597.0;81.63;Apartamento
Apartamento;Barra da Tijuca;2;0;1;80;3000.0;1380.0;300.0;37.5;Apartamento
Apartamento;Barra da Tijuca;2;1;1;86;2600.0;1478.0;151.0;30.23;Apartamento
Apartamento;Ipanema;3;2;1;150;6300.0;2200.0;495.0;42.0;Apartamento
Apartamento;Copacabana;3;1;1;290;6000.0;2520.0;339.0;20.69;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;80;2000.0;650.0;84.0;25.0;Apartamento
Apartamento;Copacabana;1;1;0;50;2200.0;1250.0;150.0;44.0;Apartamento
Apartamento;Maracanã;2;1;1;90;2600.0;787.0;179.0;28.89;Apartamento
Apartamento;Barra da Tijuca;2;1;1;70;2299.0;640.0;178.0;32.84;Apartamento
Apartamento;Barra da Tijuca;2;1;0;80;4000.0;1050.0;0.0;50.0;Apartamento
Conjunto Comercial/Sala;Jacarepaguá;0;1;0;20;600.0;444.0;0.0;30.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;90;2800.0;1202.0;266.0;31.11;Apartamento
Apartamento;São Conrado;3;2;2;385;12000.0;9650.0;2100.0;31.17;Apartamento
Apartamento;Barra da Tijuca;2;1;1;70;2800.0;700.0;1200.0;40.0;Apartamento
Apartamento;Copacabana;1;0;0;30;1200.0;513.0;25.0;40.0;Apartamento
Conjunto Comercial/Sala;Ipanema;0;4;0;323;45000.0;6000.0;0.0;139.32;Apartamento
Apartamento;Tijuca;2;1;1;85;1700.0;780.0;100.0;20.0;Apartamento
Conjunto Comercial/Sala;Centro;0;6;0;2052;123120.0;40609.0;10773.0;60.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;75;3000.0;1424.0;246.0;40.0;Apartamento
Apartamento;Leme;3;1;1;95;3700.0;770.0;136.0;38.95;Apartamento
Apartamento;Vargem Pequena;3;0;0;53;1900.0;392.0;0.0;35.85;Apartamento
Apartamento;Barra da Tijuca;2;2;1;109;5000.0;2500.0;680.0;45.87;Apartamento
Flat;Ipanema;1;1;1;43;2500.0;2117.0;304.0;58.14;Apartamento
Loja/Salão;Ramos;0;0;0;340;3000.0;0.0;0.0;8.82;Apartamento
Apartamento;Ipanema;1;1;0;35;2300.0;1200.0;0.0;65.71;Apartamento
Apartamento;Barra da Tijuca;4;3;4;440;8500.0;6500.0;1500.0;19.32;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;108;3000.0;1800.0;0.0;27.78;Apartamento
Apartamento;Jardim Oceânico;4;3;2;315;12000.0;1950.0;453.0;38.1;Apartamento
Apartamento;Recreio dos Bandeirantes;2;0;0;73;1700.0;750.0;150.0;23.29;Apartamento
Casa Comercial;Botafogo;0;5;0;600;28000.0;0.0;2948.0;46.67;Apartamento
Conjunto Comercial/Sala;Pechincha;0;1;0;20;700.0;0.0;0.0;35.0;Apartamento
Loja Shopping/ Ct Comercial;Barra da Tijuca;0;2;0;69;2800.0;1455.0;400.0;40.58;Apartamento
Apartamento;Tijuca;2;1;0;97;2300.0;835.0;104.0;23.71;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;210;15000.0;4700.0;774.0;71.43;Apartamento
Apartamento;Anil;3;1;1;78;2000.0;738.0;0.0;25.64;Apartamento
Apartamento;Barra da Tijuca;3;1;1;105;3000.0;1000.0;136.0;28.57;Apartamento
Apartamento;Lagoa;3;2;2;250;9000.0;2100.0;500.0;36.0;Apartamento
Apartamento;Taquara;2;1;0;51;890.0;390.0;13.0;17.45;Apartamento
Apartamento;Copacabana;3;1;2;95;9000.0;0.0;0.0;94.74;Apartamento
Apartamento;Leblon;4;2;4;300;16000.0;4200.0;1764.0;53.33;Apartamento
Apartamento;Barra da Tijuca;3;2;3;115;3200.0;1727.0;0.0;27.83;Apartamento
Conjunto Comercial/Sala;Campo Grande;0;0;0;40;1700.0;500.0;0.0;42.5;Apartamento
Conjunto Comercial/Sala;São Cristóvão;1;1;0;22;980.0;400.0;0.0;44.55;Apartamento
Casa Comercial;Botafogo;1;5;0;563;18000.0;0.0;1600.0;31.97;Apartamento
Apartamento;Tijuca;2;1;0;86;1900.0;722.0;149.0;22.09;Apartamento
Prédio Inteiro;Maracanã;0;0;0;254;11500.0;0.0;0.0;45.28;Apartamento
Apartamento;Copacabana;1;0;0;30;1200.0;440.0;60.0;40.0;Apartamento
Apartamento;Tijuca;3;0;0;84;1700.0;790.0;1830.0;20.24;Apartamento
Galpão/Depósito/Armazém;Taquara;0;0;0;150;75.0;0.0;0.0;0.5;Apartamento
Conjunto Comercial/Sala;Copacabana;0;1;0;30;1300.0;630.0;101.0;43.33;Apartamento
Loja/Salão;Barra da Tijuca;0;0;0;1200;170000.0;0.0;0.0;141.67;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;533;50711.0;10142.0;0.0;95.14;Apartamento
Casa;Campo Grande;1;0;0;70;700.0;0.0;0.0;10.0;Casa
Apartamento;Ipanema;4;3;1;190;6500.0;1450.0;410.0;34.21;Apartamento
Apartamento;Barra da Tijuca;4;3;4;307;20000.0;2800.0;400.0;65.15;Apartamento
Conjunto Comercial/Sala;Copacabana;0;1;0;90;2800.0;1950.0;616.0;31.11;Apartamento
Conjunto Comercial/Sala;Pechincha;0;1;0;21;400.0;419.0;105.0;19.05;Apartamento
Apartamento;Barra da Tijuca;2;1;1;65;1300.0;1000.0;0.0;20.0;Apartamento
Apartamento;Ipanema;3;3;1;230;12000.0;2600.0;400.0;52.17;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;24;1100.0;963.0;198.0;45.83;Apartamento
Apartamento;Copacabana;3;1;1;103;4500.0;1299.0;153.0;43.69;Apartamento
Apartamento;Ipanema;3;2;0;100;3000.0;1515.0;365.0;30.0;Apartamento
Apartamento;Ipanema;2;1;0;80;5500.0;890.0;90.0;68.75;Apartamento
Apartamento;Centro;1;1;0;45;2300.0;600.0;88.0;51.11;Apartamento
Galpão/Depósito/Armazém;Parada de Lucas;0;0;0;4500;40000.0;0.0;0.0;8.89;Apartamento
Apartamento;Copacabana;3;1;2;344;18000.0;3100.0;0.0;52.33;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;1;82;2000.0;800.0;150.0;24.39;Apartamento
Apartamento;Anil;2;1;1;83;1600.0;464.0;0.0;19.28;Apartamento
Apartamento;Jacarepaguá;2;1;1;80;1600.0;787.0;89.0;20.0;Apartamento
Apartamento;Glória;1;0;0;48;1600.0;480.0;30.0;33.33;Apartamento
Apartamento;Flamengo;3;0;0;98;2550.0;850.0;196.0;26.02;Apartamento
Apartamento;Centro;1;0;0;29;1300.0;336.0;20.0;44.83;Apartamento
Apartamento;Botafogo;2;0;0;65;1900.0;451.0;0.0;29.23;Apartamento
Apartamento;Botafogo;2;1;1;73;3000.0;749.0;161.0;41.1;Apartamento
Apartamento;Tijuca;2;1;0;62;1990.0;556.0;50.0;32.1;Apartamento
Apartamento;Flamengo;3;1;0;100;3600.0;800.0;115.0;36.0;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;300;7500.0;3200.0;810.0;25.0;Apartamento
Conjunto Comercial/Sala;Campo Grande;0;1;0;36;920.0;115.0;154.0;25.56;Apartamento
Apartamento;Recreio dos Bandeirantes;4;2;4;206;3000.0;17724.0;5116.0;14.56;Apartamento
Apartamento;Catete;1;0;0;47;1600.0;650.0;53.0;34.04;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;30;500.0;760.0;129.0;16.67;Apartamento
Apartamento;Campo Grande;3;1;0;60;1200.0;735.0;0.0;20.0;Apartamento
Casa;Campo Grande;2;0;0;74;800.0;0.0;0.0;10.81;Casa
Apartamento;Copacabana;3;0;0;162;4500.0;845.0;0.0;27.78;Apartamento
Apartamento;Ipanema;2;0;1;82;3800.0;720.0;140.0;46.34;Apartamento
Apartamento;Leblon;3;1;1;150;5000.0;1100.0;450.0;33.33;Apartamento
Apartamento;Praça Seca;3;1;0;61;1000.0;450.0;17.0;16.39;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;5;0;180;7000.0;6743.0;4063.0;38.89;Apartamento
Conjunto Comercial/Sala;Rocha Miranda;0;0;0;25;550.0;248.0;31.0;22.0;Apartamento
Apartamento;Barra da Tijuca;3;3;3;204;15600.0;2500.0;600.0;76.47;Apartamento
Conjunto Comercial/Sala;São Cristóvão;0;1;0;29;1000.0;400.0;0.0;34.48;Apartamento
Prédio Inteiro;Penha Circular;0;0;0;380;10000.0;0.0;0.0;26.32;Apartamento
Apartamento;Copacabana;2;0;0;70;3900.0;960.0;147.0;55.71;Apartamento
Apartamento;Botafogo;3;2;1;655;15000.0;3550.0;1420.0;22.9;Apartamento
Apartamento;Leblon;3;1;0;99;4000.0;1200.0;325.0;40.4;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;38;600.0;808.0;190.0;15.79;Apartamento
Loja/Salão;Botafogo;0;0;0;337;13000.0;0.0;87.0;38.58;Apartamento
Conjunto Comercial/Sala;Taquara;0;1;0;20;650.0;400.0;56.0;32.5;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;4016;200800.0;62248.0;14417.0;50.0;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;165;5775.0;3730.0;770.0;35.0;Apartamento
Apartamento;Jardim Oceânico;4;3;4;310;7000.0;2149.0;808.0;22.58;Apartamento
Casa;Barra da Tijuca;5;4;3;1008;10000.0;1390.0;148.0;9.92;Casa
Apartamento;Cachambi;3;2;1;89;1750.0;890.0;80.0;19.66;Apartamento
Apartamento;Lagoa;3;3;3;227;13500.0;3960.0;980.0;59.47;Apartamento
Apartamento;Copacabana;3;0;0;120;4200.0;900.0;186.0;35.0;Apartamento
Apartamento;Cachambi;1;1;0;35;800.0;407.0;0.0;22.86;Apartamento
Apartamento;Gávea;1;0;1;145;6000.0;1000.0;350.0;41.38;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;86;1700.0;715.0;193.0;19.77;Apartamento
Apartamento;Madureira;2;1;0;65;600.0;400.0;25.0;9.23;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;26;447.0;280.0;70.0;17.19;Apartamento
Apartamento;Méier;3;2;1;128;1850.0;1055.0;174.0;14.45;Apartamento
Apartamento;Lagoa;3;2;1;340;8000.0;3200.0;1250.0;23.53;Apartamento
Apartamento;Tijuca;3;0;1;91;2800.0;450.0;0.0;30.77;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;73;2000.0;700.0;0.0;27.4;Apartamento
Casa;Campo Grande;4;1;0;80;7000.0;0.0;0.0;87.5;Casa
Apartamento;Botafogo;2;1;2;85;4000.0;1130.0;261.0;47.06;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;2;0;50;1500.0;1800.0;2400.0;30.0;Apartamento
Casa Comercial;Ipanema;0;0;0;80;13000.0;0.0;250.0;162.5;Apartamento
Apartamento;Botafogo;3;1;1;105;5100.0;1340.0;342.0;48.57;Apartamento
Apartamento;Freguesia (Jacarepaguá);1;1;0;55;900.0;395.0;88.0;16.36;Apartamento
Apartamento;Barra da Tijuca;3;3;3;248;3800.0;4083.0;0.0;15.32;Apartamento
Casa;Itanhangá;4;2;3;250;3800.0;490.0;0.0;15.2;Casa
Apartamento;Penha;2;0;0;55;1250.0;150.0;0.0;22.73;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;700;16000.0;5000.0;0.0;22.86;Apartamento
Conjunto Comercial/Sala;Botafogo;0;0;0;6;4844.0;0.0;0.0;807.33;Apartamento
Flat;Copacabana;2;2;2;103;4500.0;1900.0;240.0;43.69;Apartamento
Conjunto Comercial/Sala;Pilares;0;0;0;70;2990.0;0.0;196.0;42.71;Apartamento
Conjunto Comercial/Sala;Vila da Penha;0;1;0;25;700.0;600.0;0.0;28.0;Apartamento
Apartamento;Copacabana;1;0;0;52;3500.0;2055.0;0.0;67.31;Apartamento
Apartamento;Campo Grande;2;1;0;50;550.0;0.0;0.0;11.0;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;650;9000.0;5300.0;1500.0;13.85;Apartamento
Conjunto Comercial/Sala;Copacabana;0;0;0;28;1300.0;700.0;0.0;46.43;Apartamento
