Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Metro m2;Tipo Agregado
Conjunto Comercial/Sala;Campo Grande;0;1;0;21;500.0;570.0;0.0;23.81;Apartamento
Apartamento;Laranjeiras;2;0;0;110;2500.0;968.0;167.0;22.73;Apartamento
Galpão/Depósito/Armazém;São Cristóvão;0;20;0;1100;16000.0;0.0;2435.0;14.55;Apartamento
Apartamento;Ipanema;4;3;3;433;37000.0;9800.0;0.0;85.45;Apartamento
Apartamento;Flamengo;2;0;0;85;2700.0;800.0;1150.0;31.76;Apartamento
Apartamento;Leme;3;1;1;175;8000.0;1380.0;0.0;45.71;Apartamento
Casa;Engenho Novo;2;0;0;70;1100.0;0.0;0.0;15.71;Casa
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;75;2500.0;1250.0;681.0;33.33;Apartamento
Apartamento;Jacarepaguá;2;1;0;68;1100.0;540.0;0.0;16.18;Apartamento
Apartamento;Humaitá;2;1;0;64;2500.0;520.0;0.0;39.06;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;90;2800.0;1640.0;270.0;31.11;Apartamento
Apartamento;Copacabana;1;0;1;37;2500.0;447.0;20.0;67.57;Apartamento
Apartamento;Copacabana;4;2;2;240;10000.0;2000.0;700.0;41.67;Apartamento
Casa de Condomínio;Barra da Tijuca;4;3;2;188;6000.0;1022.0;0.0;31.91;Casa
Apartamento;Barra da Tijuca;3;2;2;137;12500.0;1850.0;271.0;91.24;Apartamento
Apartamento;Barra da Tijuca;14;2;2;212;5000.0;1200.0;650.0;23.58;Apartamento
Apartamento;Irajá;2;1;0;65;1100.0;255.0;0.0;16.92;Apartamento
Apartamento;Barra da Tijuca;2;2;1;105;3000.0;1500.0;0.0;28.57;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;240;21000.0;3500.0;0.0;87.5;Apartamento
Loja/Salão;Andaraí;0;0;0;330;6000.0;0.0;17285.0;18.18;Apartamento
Apartamento;Vila Isabel;2;1;0;70;1100.0;550.0;0.0;15.71;Apartamento
Apartamento;São Conrado;4;3;4;600;23000.0;16864.0;3910.0;38.33;Apartamento
Apartamento;Gávea;3;1;1;108;5000.0;1769.0;226.0;46.3;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;2;85;2300.0;1350.0;125.0;27.06;Apartamento
Apartamento;Catete;1;0;0;45;1600.0;500.0;55.0;35.56;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;32;800.0;870.0;0.0;25.0;Apartamento
Quitinete;Copacabana;1;0;0;15;1100.0;600.0;0.0;73.33;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;101;2000.0;4700.0;0.0;19.8;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;28;1600.0;912.0;0.0;57.14;Apartamento
Apartamento;Barra da Tijuca;3;2;3;160;7000.0;1087.0;455.0;43.75;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;150;4000.0;2000.0;0.0;26.67;Apartamento
Conjunto Comercial/Sala;Botafogo;0;0;0;457;50000.0;17600.0;23500.0;109.41;Apartamento
Casa de Vila;Quintino Bocaiúva;2;1;0;48;750.0;0.0;0.0;15.62;Casa
Apartamento;Lagoa;3;2;1;130;5000.0;1000.0;300.0;38.46;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;2;1;100;2100.0;780.0;140.0;21.0;Apartamento
Conjunto Comercial/Sala;Centro;0;2;0;240;7000.0;3203.0;1300.0;29.17;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;2;3;180;5500.0;1200.0;318.0;30.56;Apartamento
Apartamento;Copacabana;3;0;0;80;2500.0;800.0;157.0;31.25;Apartamento
Casa de Condomínio;Barra da Tijuca;3;0;2;367;6000.0;510.0;423.0;16.35;Casa
Conjunto Comercial/Sala;Santo Cristo;0;16;0;1200;78000.0;23000.0;0.0;65.0;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;1;85;1900.0;450.0;112.0;22.35;Apartamento
Casa;Jardim Botânico;2;4;1;107;9500.0;0.0;1091.0;88.79;Casa
Conjunto Comercial/Sala;Botafogo;0;15;0;700;59500.0;21994.0;5586.0;85.0;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;10;6213.0;0.0;0.0;621.3;Apartamento
Apartamento;Barra da Tijuca;5;4;3;171;9000.0;2000.0;3500.0;52.63;Apartamento
Apartamento;Centro;1;0;0;42;2200.0;619.0;202.0;52.38;Apartamento
Apartamento;Méier;2;1;0;62;1000.0;600.0;38.0;16.13;Apartamento
Quitinete;Leblon;1;0;0;25;1950.0;360.0;58.0;78.0;Apartamento
Loja/Salão;Taquara;0;0;0;15;600.0;0.0;0.0;40.0;Apartamento
Apartamento;Leblon;4;3;4;260;13500.0;3100.0;0.0;51.92;Apartamento
Casa;Recreio dos Bandeirantes;4;4;2;367;12000.0;0.0;653.0;32.7;Casa
Conjunto Comercial/Sala;Centro;0;0;0;594;9000.0;0.0;727.0;15.15;Apartamento
Loja/Salão;Copacabana;0;0;0;310;30000.0;700.0;0.0;96.77;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;373;30000.0;6723.0;1492.0;80.43;Apartamento
Conjunto Comercial/Sala;Ipanema;0;5;0;200;25200.0;4680.0;0.0;126.0;Apartamento
Apartamento;Grajaú;2;0;0;65;1400.0;415.0;21.0;21.54;Apartamento
Apartamento;Lagoa;4;3;1;180;11000.0;2530.0;812.0;61.11;Apartamento
Apartamento;Copacabana;1;0;0;43;1800.0;639.0;76.0;41.86;Apartamento
Apartamento;Lagoa;2;1;1;80;2200.0;2600.0;420.0;27.5;Apartamento
Conjunto Comercial/Sala;Copacabana;0;0;0;25;1000.0;434.0;101.0;40.0;Apartamento
Apartamento;Flamengo;2;1;0;57;2800.0;832.0;98.0;49.12;Apartamento
Apartamento;Campo Grande;3;1;1;98;1800.0;950.0;0.0;18.37;Apartamento
Apartamento;Jardim Botânico;3;1;2;170;6000.0;860.0;540.0;35.29;Apartamento
Casa Comercial;Botafogo;3;0;0;280;13000.0;450.0;1387.0;46.43;Apartamento
Apartamento;Leblon;4;2;2;207;15500.0;6000.0;934.0;74.88;Apartamento
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;23;1000.0;680.0;0.0;43.48;Apartamento
Apartamento;Barra da Tijuca;4;4;4;518;38000.0;5004.0;1747.0;73.36;Apartamento
Galpão/Depósito/Armazém;Cordovil;0;0;0;850;8500.0;0.0;0.0;10.0;Apartamento
Apartamento;Ipanema;1;0;1;50;2400.0;897.0;26.0;48.0;Apartamento
Quitinete;Copacabana;1;0;0;35;1700.0;400.0;55.0;48.57;Apartamento
Loja/Salão;Catete;0;6;0;300;17500.0;310.0;14000.0;58.33;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;150;2500.0;1012.0;0.0;16.67;Apartamento
Loja/Salão;Barra da Tijuca;0;1;0;49;2000.0;780.0;0.0;40.82;Apartamento
Conjunto Comercial/Sala;Centro;0;3;0;151;11025.0;3430.0;0.0;73.01;Apartamento
Apartamento;Copacabana;2;0;0;65;2700.0;710.0;130.0;41.54;Apartamento
Apartamento;Recreio dos Bandeirantes;4;3;2;300;4500.0;1500.0;580.0;15.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;2;1;115;1900.0;661.0;0.0;16.52;Apartamento
Casa de Vila;Jacarepaguá;3;1;0;100;2000.0;100.0;0.0;20.0;Casa
Conjunto Comercial/Sala;Barra da Tijuca;0;7;0;300;15000.0;9360.0;0.0;50.0;Apartamento
Apartamento;Recreio dos Bandeirantes;3;3;1;110;1500.0;873.0;0.0;13.64;Apartamento
Casa;Botafogo;12;5;0;500;18000.0;0.0;1800.0;36.0;Casa
Conjunto Comercial/Sala;Ipanema;0;0;0;45;5000.0;2200.0;243.0;111.11;Apartamento
Apartamento;Barra da Tijuca;4;3;4;304;13000.0;3800.0;1350.0;42.76;Apartamento
Loja/Salão;Freguesia (Jacarepaguá);0;0;0;197;8000.0;0.0;690.0;40.61;Apartamento
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;28;900.0;560.0;185.0;32.14;Apartamento
Casa de Condomínio;Barra da Tijuca;4;2;4;280;8500.0;750.0;620.0;30.36;Casa
Prédio Inteiro;Barra da Tijuca;0;80;0;5500;480000.0;0.0;0.0;87.27;Apartamento
Apartamento;Tijuca;3;1;0;88;2300.0;790.0;885.0;26.14;Apartamento
Apartamento;Ipanema;3;1;1;145;7200.0;2900.0;500.0;49.66;Apartamento
Casa;Catete;10;0;10;300;15000.0;0.0;220.0;50.0;Casa
Apartamento;Urca;1;0;0;53;2800.0;770.0;0.0;52.83;Apartamento
Apartamento;Ipanema;3;1;1;116;5000.0;1600.0;316.0;43.1;Apartamento
Apartamento;Tijuca;3;1;0;116;2000.0;790.0;194.0;17.24;Apartamento
Apartamento;Vila Isabel;3;0;0;82;1200.0;664.0;86.0;14.63;Apartamento
Quitinete;Glória;1;0;1;26;850.0;321.0;29.0;32.69;Apartamento
Apartamento;Barra da Tijuca;3;2;1;130;4800.0;1700.0;433.0;36.92;Apartamento
